date,GE,XOM,IBM,KO,PG,DD,RTX,MMM,MRK,AXP,MCD,BA,DIS,CAT,JNJ,WMT,MSFT,INTC,HD,JPM,PFE,VZ,CVX,CSCO,TRV,UNH,NKE,V,GS,AAPL,WBA,DOW,CRM,HON,AMGN,AMZN,NVDA,SHW
2016-01-04,146.9734,77.46,129.8545,42.4,78.37,29.7127,56.369,122.753,50.041,67.59,117.58,140.5,102.98,67.99,100.48,20.4867,54.8,33.99,131.07,63.62,30.287,45.87,88.85,26.41,109.97,116.46,61.52,75.7,177.14,26.3375,,,,,,,,
2016-01-05,147.1169,78.12,129.759,42.55,78.62,29.4866,56.457,123.288,50.6799,66.55,119.2,141.07,100.9,67.28,100.9,20.9733,55.05,33.83,130.43,63.73,30.505,46.5,89.61,26.29,110.47,116.68,62.38,76.27,174.09,25.6775,,,,,,,,
2016-01-06,144.7719,77.47,129.1095,42.32,77.86,28.8379,54.924,120.804,49.9838,64.42,118.4,138.83,100.36,66.22,100.39,21.1833,54.05,33.08,129.08,62.81,29.9647,45.52,86.07,26.01,109.04,115.49,61.49,75.27,169.84,25.175,,,,,,,,
2016-01-07,138.646,76.23,126.9031,41.62,77.18,27.7549,54.204,117.861,49.5452,63.84,115.66,133.01,99.5,63.94,99.22,21.6767,52.17,31.84,125.4,60.27,29.7656,45.27,83.02,25.41,106.44,112.09,59.85,73.79,164.62,24.1125,,,,,,,,
2016-01-08,136.1573,74.69,125.7282,41.51,75.97,27.5406,53.319,117.46,48.7061,63.63,115.48,129.99,99.25,63.29,98.16,21.18,52.33,31.51,123.9,58.92,29.3864,44.83,82.13,24.78,105.99,110.16,58.87,72.88,163.94,24.24,,,,,,,,
2016-01-11,136.7795,73.69,127.2565,41.58,76.67,27.017,53.378,117.435,48.8682,64.05,116.69,130.21,99.92,61.47,97.57,21.4067,52.3,32.06,125.78,58.83,29.4528,45.09,80.77,25.27,106.79,109.58,59.55,73.92,165.73,24.6325,,,,,,,,
2016-01-12,137.0667,75.2,126.9413,42.12,76.51,26.6539,53.378,117.77,49.3545,64.4,117.44,131.92,101.46,61.6,98.24,21.2067,52.78,32.68,127.49,58.96,29.3864,44.93,82.15,25.35,107.98,112.26,59.94,74.76,165.71,24.99,,,,,,,,
2016-01-13,135.1523,75.65,125.2889,41.85,75.85,25.9636,52.393,115.98,48.3056,62.85,115.12,128.12,98.48,60.89,97.02,20.64,51.64,31.91,121.4,57.34,28.7892,44.15,81.33,24.6,106.06,109.23,58.78,73.1,158.99,24.3475,,,,,,,,
2016-01-14,139.0767,79.12,126.9508,41.88,76.15,26.3266,52.499,118.037,49.3926,63.29,116.62,129.2,99.11,62.27,98.89,21.02,53.11,32.74,119.62,58.2,29.4907,44.87,85.47,24.66,106.98,110.76,58.51,73.8,161.39,24.88,,,,,,,,
2016-01-15,136.3488,77.58,124.2,41.5,74.98,25.5649,50.506,115.955,48.7633,62.91,115.18,125.63,93.9,59.87,97.0,20.6433,50.99,29.76,119.23,57.04,29.2063,44.43,83.67,23.62,105.1,109.27,57.56,71.83,155.61,24.2825,,,,,,,,
2016-01-19,136.3488,76.4,122.3661,41.92,76.73,25.0353,50.276,115.704,48.954,62.64,117.5,126.06,93.97,59.03,97.5,20.8533,50.56,29.8,119.76,57.01,29.0926,44.87,81.51,23.85,105.76,112.58,58.32,71.39,156.82,24.165,,,,,,,,
2016-01-20,134.0037,73.18,116.3963,41.38,75.83,24.589,50.034,114.509,48.2007,63.03,115.78,122.14,92.54,58.81,95.75,20.28,50.79,29.59,116.46,55.51,29.0641,44.42,78.98,22.9,103.65,114.79,59.04,70.68,153.75,24.1975,,,,,,,,
2016-01-21,136.8274,74.1,117.3992,41.39,76.72,24.9937,50.47,115.178,48.5535,62.64,117.84,123.4,94.02,59.69,95.94,20.6267,50.48,29.66,120.22,55.25,28.9883,45.87,81.05,22.9,102.7,113.5,60.56,71.56,151.65,24.075,,,,,,,,
2016-01-22,135.1523,76.57,117.0076,42.06,77.36,25.7197,50.93,116.649,48.9636,55.06,118.4,124.61,96.9,60.98,96.75,20.8967,52.29,29.925,122.76,56.95,29.1115,47.04,83.54,23.37,103.14,114.33,60.88,72.7,156.86,25.355,,,,,,,,
2016-01-25,134.1951,73.98,116.6064,42.16,76.85,25.1008,50.075,115.019,48.5535,55.02,119.2,124.01,95.29,57.91,96.4,21.15,51.79,29.6,121.71,55.66,28.9124,47.03,80.89,23.17,102.08,113.38,60.7,71.74,151.12,24.86,,,,,,,,
2016-01-26,135.4873,76.7,117.0936,42.08,78.81,25.2674,50.518,121.047,49.0589,55.09,120.43,128.01,96.27,59.16,101.18,21.3333,52.17,29.94,122.2,57.08,29.0736,48.25,84.12,23.72,103.25,113.96,61.11,71.88,154.45,24.9975,,,,,,,,
2016-01-27,134.0037,75.29,115.5366,42.09,78.8,24.6426,50.612,121.691,48.0291,54.52,120.87,116.58,94.32,58.32,102.16,21.3167,51.22,29.81,121.57,57.04,28.9314,49.03,83.29,23.43,103.31,112.33,59.58,70.91,153.72,23.355,,,,,,,,
2016-01-28,135.0087,76.99,116.7401,42.57,79.82,24.7259,50.989,123.171,46.9135,52.88,122.38,118.01,93.53,61.08,102.27,21.4067,52.055,29.97,122.28,57.28,28.6281,49.01,85.92,23.105,104.47,111.38,61.2,69.33,157.06,23.5225,,,,,,,,
2016-01-29,139.2681,77.85,119.1949,42.92,81.69,24.9937,51.721,126.247,48.3152,53.5,123.78,120.13,95.82,62.24,104.44,22.12,55.09,31.02,125.76,59.5,28.903,49.97,86.47,23.79,107.04,115.16,62.01,74.49,161.56,24.335,,,,,,,,
2016-02-01,137.0667,76.29,119.2331,43.0,81.12,25.3388,51.644,124.349,48.3914,54.7,124.61,121.56,95.15,62.7,104.37,22.5,54.71,30.82,126.51,58.86,28.5996,50.76,85.29,23.48,107.01,115.89,63.16,74.38,159.65,24.1075,,,,,,,,
2016-02-02,135.1523,74.59,117.4279,42.44,80.22,26.7968,50.382,123.63,48.0672,53.66,123.95,117.52,93.12,60.67,103.41,22.2867,53.0,29.8,125.27,57.03,28.5712,49.91,81.24,22.83,106.03,113.88,62.55,73.4,151.7,23.62,,,,,,,,
2016-02-03,137.2102,78.48,119.1281,42.72,81.1,27.8144,50.7,127.518,47.724,54.11,121.47,121.87,95.14,63.27,104.14,22.09,52.16,29.34,123.79,57.41,28.1256,50.62,84.62,23.1,106.89,112.75,62.49,74.38,152.68,24.0875,,,,,,,,
2016-02-04,139.651,79.83,121.9267,42.53,80.7,28.2012,51.974,128.287,46.3318,54.38,120.66,123.61,95.43,65.96,103.9,22.14,52.0,29.77,121.11,58.4,27.4905,50.43,84.79,23.54,107.49,114.2,60.17,73.68,156.49,24.15,,,,,,,,
2016-02-05,136.5881,80.08,122.8054,42.44,81.2,27.7846,51.809,128.312,47.0851,53.98,115.4,122.56,93.9,66.12,100.54,22.3333,50.16,29.04,116.43,57.75,27.519,50.97,82.88,22.89,106.29,111.72,57.17,71.54,156.47,23.505,,,,,,,,
2016-02-08,134.8173,81.16,121.2867,42.65,82.62,27.5109,51.184,128.672,46.5607,52.4,116.05,119.47,92.12,64.58,102.0,22.3,49.41,28.82,111.85,56.54,27.0734,50.74,85.99,22.93,105.6,110.02,55.04,67.77,149.25,23.7525,,,,,,,,
2016-02-09,135.3437,80.08,118.5072,43.3,82.64,27.7311,51.455,129.374,46.8753,52.63,117.01,118.88,92.32,63.93,101.97,21.9367,49.28,28.81,113.86,56.2,27.5853,50.15,82.92,22.65,105.92,111.16,55.68,68.33,148.25,23.7475,,,,,,,,
