lookback,entry,exit,stop_loss,top_n,rebal,tc,ann_ret,ann_vol,sharpe,max_dd,win_rate,n_trades
60,1.0,0.5,4.0,3,Monthly,0% (no cost),0.09646774042840288,0.179184659777536,0.5383705309827914,-0.4031811085402044,0.506938775510204,570
20,2.5,0.5,4.0,10,Daily,0% (no cost),0.09043540077562554,0.1690578296487849,0.534937665788705,-0.3488726107221505,0.5107330903199676,1418
20,2.5,0.5,3.0,10,Daily,0% (no cost),0.08792314791230334,0.16882141958702993,0.5208056425978438,-0.3488726107221506,0.5111381125961928,1417
60,1.0,0.5,3.0,3,Monthly,0% (no cost),0.08806948050333484,0.17143521363915337,0.5137187316061478,-0.30946004160588825,0.505718954248366,582
20,2.5,0.5,3.0,5,Daily,0% (no cost),0.0846629850403103,0.16676551178629423,0.5076768219846546,-0.33849671665368153,0.5117504051863857,1408
20,2.5,0.5,4.0,5,Daily,0% (no cost),0.08540796752006614,0.1692346655037338,0.5046718251597324,-0.35844539598353864,0.5119481571486432,1413
20,2.5,0.5,4.0,3,Daily,0% (no cost),0.08212856690378183,0.16656305980727007,0.49307791895041253,-0.3416398042317723,0.5109400324149108,1407
60,1.0,0.5,4.0,10,Monthly,0% (no cost),0.08117656802341931,0.16478737945901997,0.49261398712640275,-0.3146274341556583,0.49918367346938775,857
20,2.5,0.5,3.0,3,Daily,0% (no cost),0.08018291638106294,0.166873703150065,0.4805006113453155,-0.35264570946410123,0.5105348460291734,1404
60,1.0,0.5,4.0,5,Monthly,0% (no cost),0.07902602316650709,0.16767491034013984,0.471304997308169,-0.32737205047376616,0.493469387755102,703
126,2.5,0.5,4.0,5,2x/Month,0% (no cost),0.10358027931662038,0.2214013043963757,0.46783951702100257,-0.32227537310608945,0.4858709405314213,296
60,1.5,0.5,4.0,3,Monthly,0% (no cost),0.08982293395240906,0.19524593242232366,0.46005021891118825,-0.45622003041174586,0.5041084634346754,500
60,1.0,0.5,3.0,10,Monthly,0% (no cost),0.07430912704551608,0.16301306840871488,0.45584766774160923,-0.2449203647520367,0.4930612244897959,902
60,1.0,0.0,4.0,3,Monthly,0% (no cost),0.07567764396865909,0.16910662466274393,0.44751436627385843,-0.38524615305602883,0.5008163265306123,570
126,2.5,0.5,4.0,3,2x/Month,0% (no cost),0.09153693523637321,0.20520895930649216,0.44606695314729017,-0.321782225657405,0.48878544223444775,288
60,1.5,0.5,3.0,3,2x/Month,0% (no cost),0.07037976046763963,0.15898314843127648,0.44268692098560775,-0.2629148317684451,0.49612719119445575,860
20,2.0,0.5,3.0,5,Daily,0% (no cost),0.0680729690098988,0.1559829921542677,0.4364127657108565,-0.3547483629015701,0.5076182838813151,1955
20,2.0,0.5,4.0,10,Daily,0% (no cost),0.0668937214570686,0.15744593674113228,0.4248678806303727,-0.3548578011943646,0.5068163592622293,1951
126,2.5,0.5,3.0,3,2x/Month,0% (no cost),0.09300734080608455,0.21924498608248957,0.42421650076454254,-0.3859919766959343,0.4859154929577465,340
20,2.0,0.5,4.0,3,Daily,0% (no cost),0.06594584223038795,0.15551037875461296,0.4240607138797273,-0.3535480666581253,0.5092221331194867,1962
20,2.0,0.5,3.0,10,Daily,0% (no cost),0.06665502042108808,0.1573733391843506,0.42354709359637416,-0.3549611336313645,0.5068163592622293,1951
60,1.5,0.5,4.0,10,Monthly,0% (no cost),0.07786573980722462,0.18384633148363355,0.42353708762557724,-0.354109465185766,0.4912209064924459,662
20,2.0,0.5,4.0,5,Daily,0% (no cost),0.06564539152791521,0.1567231801837152,0.418862043578773,-0.3584287289173208,0.5072173215717722,1953
20,2.0,0.5,3.0,3,Daily,0% (no cost),0.06470792121360322,0.1559377991036972,0.4149598210666873,-0.3700094280228161,0.5096230954290297,1965
126,2.5,0.5,4.0,10,2x/Month,0% (no cost),0.08852742715291699,0.21337056022546588,0.41489991430575623,-0.32227537310608945,0.48629270350063264,295
60,1.5,0.5,3.0,5,2x/Month,0% (no cost),0.06549168047781942,0.15796792787849046,0.41458846335058513,-0.2519805777330584,0.49041989400733793,960
60,1.0,0.0,4.0,5,Monthly,0% (no cost),0.0663996776873405,0.16184539243726875,0.41026609832638267,-0.3064985769571057,0.48489795918367345,715
60,1.5,0.5,4.0,3,2x/Month,0% (no cost),0.06456083258685365,0.15830053508192654,0.40783710903719284,-0.326973376239276,0.5018344883815736,815
126,2.5,0.0,4.0,3,2x/Month,0% (no cost),0.0787357143632498,0.1957457529651575,0.4022345985573677,-0.3606726417755777,0.4916593503072871,292
20,2.5,0.0,4.0,3,Daily,0% (no cost),0.06619028407396983,0.16625089832260492,0.39813489576176336,-0.3288227423549829,0.506288032454361,1374
20,2.5,0.0,3.0,10,Daily,0% (no cost),0.06651910422309805,0.1678010781450016,0.3964164292533153,-0.34548839772978246,0.5087221095334685,1387
126,2.5,0.0,4.0,5,2x/Month,0% (no cost),0.08837914579842167,0.22474125202769918,0.39324843570564877,-0.3599179707290797,0.4894351013367831,298
